Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,F,SALARY,,79368,
PLUMBING INSPECTOR,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,124011.96,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,93252,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,84972,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,P,HOURLY,20,,22.04
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,50460,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
ADMINISTRATIVE ASST III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,60780,
ASSISTANT COMMISSIONER -43,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,129936,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
ADMINISTRATIVE ASST II,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,SALARY,,84972,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
SENIOR TELECOMMUNICATIONS SPECIALIST,CHICAGO PUBLIC LIBRARY,F,SALARY,,80304,
COMMUNICATIONS OPERATOR I - 311,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,F,SALARY,,100176,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),CHICAGO POLICE DEPARTMENT,F,SALARY,,115686,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,52908,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,29.44
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
STAFF ASSISTANT - EXCLUDED,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,58896,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIELD SERVICE SPECIALIST III,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,84108,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,43884,
AUDIO-VISUAL SPECIALIST,CHICAGO PUBLIC LIBRARY,F,SALARY,,93252,
AUDITOR I,DEPARTMENT OF FINANCE,F,SALARY,,72072,
DEPUTY DIR,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,SALARY,,152748,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,92808,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,94368,
WATER CHEMIST II,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,87600,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR PROGRAMMER/ANALYST,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,96624,
SENIOR PERFORMANCE ANALYST,OFFICE OF INSPECTOR GENERAL,F,SALARY,,90444,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
PROGRAM AUDITOR III,DEPARTMENT OF HOUSING,F,SALARY,,123168,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,43884,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,108444,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
COMMUNITY OUTREACH COORD,CHICAGO POLICE DEPARTMENT,F,SALARY,,97668,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR ARCHIVAL SPECIALIST,CHICAGO PUBLIC LIBRARY,F,SALARY,,72072,
FINANCIAL PLANNING ANALYST - EXCLD,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,86520,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,F,SALARY,,115140,
OPERATING ENGINEER-GROUP C,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,54.51
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,67284,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,87600,
PARAMEDIC FIELD CHIEF,CHICAGO FIRE DEPARTMENT,F,SALARY,,156396,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ELECTRICAL MECHANIC,OFFICE OF PUBLIC SAFETY ADMINISTRATION,F,HOURLY,40,,53.8
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
CONCRETE LABORER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,48.9
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
DIR OF PROGRAM OPERATIONS X33,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,118128,
SENIOR STOREKEEPER,CHICAGO PUBLIC LIBRARY,F,SALARY,,70608,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,F,SALARY,,122196,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
COORD OF PAYMENT SERVICES,DEPARTMENT OF FINANCE,F,SALARY,,77796,
FIREFIGHTER/PARAMEDIC,CHICAGO FIRE DEPARTMENT,F,SALARY,,82656,
BEHAVIORAL HEALTH ASSISTANT,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POOL MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,36.54
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,135144,
FINANCIAL PLANNING ANALYST - EXCLD,DEPARTMENT OF HOUSING,F,SALARY,,86520,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
AUDITOR II,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,112020,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,40032,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
ASST GENERAL SUPT OF STREETS AND SANITATION,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,109164,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
CAPTAIN,CHICAGO POLICE DEPARTMENT,F,SALARY,,163542,
FINANCIAL ANALYST,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,110256,
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,87600,
PARAMEDIC I/C,CHICAGO FIRE DEPARTMENT,F,SALARY,,101052,
ZONING INVESTIGATOR,DEPARTMENT OF PLANNING AND DEVELOPMENT,F,SALARY,,141552,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
PUBLIC HEALTH NURSE I,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,74892,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,137208,
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,F,SALARY,,61536,
CONTRACTS ADMINISTRATOR,CHICAGO PUBLIC LIBRARY,F,SALARY,,118128,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,53340,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,48180,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ALDERMAN,CITY COUNCIL,F,SALARY,,133176,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CONTRACTS ADMINISTRATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,129936,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,84612,
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,F,SALARY,,72072,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,87600,
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,46056,
MANAGING DEPUTY COMMISSIONER - 41,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,179412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
LIEUTENANT-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,135144,
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,72072,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
WATER METER MACHINIST,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,49.4
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,75588,
MEDICAL DIR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,182916,
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,F,SALARY,,57588,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
PAYMENT SERVICES REPRESENTATIVE,DEPARTMENT OF FINANCE,F,SALARY,,52908,
ADMINISTRATIVE MANAGER,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,104208,
PAINTER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,51.55
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
OPERATING ENGINEER-GROUP C,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,54.51
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,74844,
SUBPOENA OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,84120,
ELECTRICAL MECHANIC (AUTOMOTIVE),DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,53.8
PUBLIC RELATIONS REPRESENTATIVE III,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,88140,
ADMINISTRATIVE ASST II,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,48960,
ACCOUNTANT,DEPARTMENT OF FINANCE,F,SALARY,,112260,
MOTOR TRUCK DRIVER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,45.68
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,58842,
BOOTER - PARKING,DEPARTMENT OF FINANCE,F,HOURLY,40,,42.48
ADMINISTRATIVE ASST II,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASSOC CLASSIFICATION & COMP ANALYST,DEPARTMENT OF HUMAN RESOURCES,F,SALARY,,70272,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,83970,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
CLERK IV,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,84972,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
GENERAL FOREMAN OF LINEMEN,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,146120.04,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
ADMINISTRATIVE ASST III,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,66684,
HOISTING ENGINEER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,56.6
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,97926,
ACCOUNTANT,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,76656,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
OPERATIONS ANALYST,DEPARTMENT OF FINANCE,F,SALARY,,92808,
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,F,SALARY,,65412,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,F,SALARY,,104940,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,128772,
CLERK III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,41940,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
DATA ENTRY OPERATOR,DEPARTMENT OF WATER MANAGEMENT,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
SENIOR COMPANION,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,4
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
PLUMBING INSPECTOR,DEPARTMENT OF BUILDINGS,F,SALARY,,124011.96,
AVIATION SECURITY OFFICER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,61308,
PROJECT COORD,DEPARTMENT OF FINANCE,F,SALARY,,67656,
SENIOR STOREKEEPER,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,114264,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
REFUSE COLLECTION COORD,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,117576,
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF TRANSPORTATION,F,HOURLY,40,,45.68
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
AVIATION COMMUNICATIONS OPERATOR,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,94368,
CLERK III,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,40680,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,98904,
STAFF ASST,DEPARTMENT OF ADMINISTRATIVE HEARING,F,SALARY,,66684,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,94152,
CLERK III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,41940,
CLERK III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,39492,
TRAFFIC CONTROL AIDE-HOURLY,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,P,HOURLY,20,,22.04
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,F,SALARY,,122196,
SENIOR EMERGENCY MANAGEMENT COORD,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,85524,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,70608,
SENIOR FINANCIAL ANALYST,OFFICE OF BUDGET & MANAGEMENT,F,SALARY,,82752,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
TRAFFIC ENFORCEMENT TECH,DEPARTMENT OF FINANCE,F,SALARY,,48672,
BUILDING/CONSTRUCTION INSPECTOR,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,148260,
ACCOUNTANT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,F,SALARY,,97668,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
ADMINISTRATIVE ASST II,DEPARTMENT OF FINANCE,F,SALARY,,84972,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,110766,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,145092,
POLICE ADMINISTRATIVE CLERK,CHICAGO POLICE DEPARTMENT,F,SALARY,,64332,
DEPUTY COMMISSIONER,DEPARTMENT OF BUSINESS AFFAIRS AND CONSUMER PROTECTION,F,SALARY,,135084,
CLERK III,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,41940,
LABORER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.29
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,106482,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
INVESTIGATOR-COPA,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,F,SALARY,,79368,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
BRIDGE OPERATOR,CHICAGO DEPARTMENT OF TRANSPORTATION,F,SALARY,,57996,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,117564,
DIR OF ACCOUNTING,DEPARTMENT OF FINANCE,F,SALARY,,125400,
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,F,SALARY,,79428,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
STAFF ASST,MAYORS OFFICE FOR PEOPLE WITH DISABILITIES,F,SALARY,,107100,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,53448,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
ELECTRONICS TECHNICIAN,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,53.8
CLERK III,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,40680,
LANDSIDE OPERATION MANAGER,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,67656,
FIREFIGHTER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,102372,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,50460,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.68
CLERK III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,41940,
LIEUTENANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,154074,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,58560,
INVESTIGATIVE ANALYST,OFFICE OF INSPECTOR GENERAL,F,SALARY,,86520,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FIRE ENGINEER-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,114654,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,55956,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,93342,
CLERK III,CHICAGO DEPARTMENT OF PUBLIC HEALTH,F,SALARY,,41940,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
PLUMBER,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,F,HOURLY,40,,56.8
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,110178,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,55956,
FIREFIGHTER-EMT (RECRUIT),CHICAGO FIRE DEPARTMENT,F,SALARY,,62466,
EXEC ADMINISTRATIVE ASST II,OFFICE OF INSPECTOR GENERAL,F,SALARY,,70872,
PROPERTY CUSTODIAN - AUTO POUND,DEPARTMENT OF STREETS AND SANITATION,F,SALARY,,50460,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,88746,
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
FOSTER GRANDPARENT,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,P,HOURLY,20,,4
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SANITATION LABORER,DEPARTMENT OF STREETS AND SANITATION,F,HOURLY,40,,45.29
POLICE OFFICER,CHICAGO POLICE DEPARTMENT,F,SALARY,,102870,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
SENIOR LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,F,SALARY,,67344,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,68196,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,41.11
MOTOR TRUCK DRIVER,CHICAGO DEPARTMENT OF AVIATION,F,HOURLY,40,,45.68
AUDITOR III,DEPARTMENT OF FINANCE,F,SALARY,,91884,
CAPTAIN-EMT,CHICAGO FIRE DEPARTMENT,F,SALARY,,147258,
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,74844,
SERGEANT,CHICAGO POLICE DEPARTMENT,F,SALARY,,132906,
POOL MOTOR TRUCK DRIVER,DEPARTMENT OF STREETS AND SANITATION,P,HOURLY,10,,41.11
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT AND COMMUNICATIONS,F,SALARY,,67284,
ADMINISTRATIVE ASST II,CHICAGO DEPARTMENT OF AVIATION,F,SALARY,,50460,
PAINTER,DEPARTMENT OF WATER MANAGEMENT,F,HOURLY,40,,51.55
